2025-10-12 13:19:13,245 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,245 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,246 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,246 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,246 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,246 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,246 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,246 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,246 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,246 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,247 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,247 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,247 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,247 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,247 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,247 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,247 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,248 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,248 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,248 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,248 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,248 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,248 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,248 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,249 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,249 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,249 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,249 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,249 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,249 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,249 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,249 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,250 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,250 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,250 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,250 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,250 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,250 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,250 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,251 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,251 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,251 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,251 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,251 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,251 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,251 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,252 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,252 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,252 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,252 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,252 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,252 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,252 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,252 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,253 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,253 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,253 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,253 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,253 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,253 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,253 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,254 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,254 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,254 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,254 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,254 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,254 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,254 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,255 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,255 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,255 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,255 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,255 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,255 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,255 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,255 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,256 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,256 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,256 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,256 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,256 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,257 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,257 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,257 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,257 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,257 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,257 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,257 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,258 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,258 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,258 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,258 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,258 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,258 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,258 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,259 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,259 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,259 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,259 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,259 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,259 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,259 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,260 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,260 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,260 - INFO -   → All files exist, skipping
